"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-40","","2.50","5.00","light brownish gray (10 YR 6/2), dry, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","70.00","75.00","highly weathered, soft, dark reddish brown (5 YR 3/3), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-38","","25.00","60.30","SEDIMENTARY ROCK (SANDSTONE), highly weathered, soft, dark gray (5Y 4/1), wet, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-46","","0.00","5.00","Lean CLAY (CL), light brown (7.5 YR6/3), dry, trace SAND, little GRAVEL, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-32","","10.00","15.00","very stiff, damp,  6.5Y 2/4, lower 4"" red SANDY cemented soil, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-33","","5.00","7.50","pinkish white (7.5 YR 8/2), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-31","","20.00","40.00","fresh, hard, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Soil","SB-32","","75.00","77.00"," slightly weathered, hard, dark reddish brown (5 YR 3/4), BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Rock","SB-37","","53.00","60.00","IGNEOUS ROCK (ANDESITE), fresh, hard, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Rock","SB-8","","30.10","40.80","SEDIMENTARY ROCK (MUDSTONE), highly weathered, soft bluish gray (GLEY 5/10B), dry, BEDROCK","BEDROCK","","","","","","Bedrock","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-4","","23.00","34.50","SANDY lean CLAY (CL), hard, yellowish brown (10 YR5/4), dry, NATIVE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-4","","20.00","23.00","brown (10 YR 5/4), NATIVE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-31","","0.00","1.00","CLAYEY GRAVEL with SAND (GC), angular GRAVEL, low cementation, WASTE","GC","","","","","","GC","","","","","","","","","","","","","","","","","","","","","","","","Solid"
